wb_category_id;wb_category_name
1;Бальзамы
2;Вода косметическая
3;Воск для бровей
4;Гели
5;Гели для бровей
6;Гидролаты
7;Гидрофильные масла
8;Жидкое мыло
9;Зубные пасты
10;Кондиционеры для белья
11;Кондиционеры для волос
12;Косметические наборы для ухода
13;Краски для бровей и ресниц
14;Кремы
15;Лосьоны
16;Маски косметические
17;Масла
18;Мицеллярная вода
19;Молочко
20;Муссы
21;Мыло косметическое
22;Мыло хозяйственное
23;Оксиданты
24;Ополаскиватели для рта
25;Отбеливатели
26;Пена для ванны
27;Пенки
28;Пилинг
29;Пятновыводители
30;Ремуверы для удаления татуажа
31;Скрабы
32;Спреи
33;Средства для мытья посуды
34;Средства для роста бровей
35;Стиральные порошки
36;Сумки
37;Сыворотки
38;Тональные кремы
39;Тоники
40;Туши
41;Флюиды
42;Шампуни
43;Эмульсии
